1618477263388	-8	249.5	320.5
1618477263482	-10	248.5	320.5
1618477263576	-10	220.028287	320
1618477263670	-10	248	318.5
1618477263764	6.338653	217.028287	319.5
1618477263858	-10	245.5	322.5
1618477263952	6.338653	248	321.5
1618477264046	-10	248.5	319
1618477264140	-11	246.5	320
1618477264231	-11	247.5	319
1618477264325	-9	247.5	320
1618477264419	-11	248	320.5
1618477264513	-10	246	319
1618477264607	-11	249	320.5
1618477264701	-9	248	322
1618477264795	-10	251.5	323.5
1618477264889	-12	249	320.5
1618477264983	-10	248	321.5
1618477265077	-10	246.5	320.5
1618477265171	-12	248	320.5
1618477265265	-10	247.5	321.5
1618477265359	-11	248.5	320
1618477265449	-15	250	321.5
1618477265543	-10	247.5	320.5
1618477265637	-11	248.5	321
1618477265731	-8	248.5	320.5
1618477265825	-8	247.5	319.5
1618477265919	-11	247	321
1618477266013	-12	248	320
1618477266107	-10	248	304.5709
1618477266201	-10	250	322
1618477266295	-9	279.971713	322
1618477266389	-10	248	319
1618477266483	-10	249.5	320
1618477266577	-8	250	321
1618477266668	-10	218.028287	320
1618477266762	-11	249.5	321
1618477266856	-11	251	322.5
1618477266950	-13	249.5	320.5
1618477267044	-10	248.5	319.5
1618477267138	-8	247	321
1618477267232	-10	248	319.5
1618477267326	-9	250.5	321.5
1618477267420	-14	249	323
1618477267514	-10	249	322
1618477267608	-6	249	320.5
1618477267702	-12	248.5	322
1618477267796	-12	247	320
1618477267887	-24.338653	248.5	320
1618477267981	-8	248	320.5
1618477268075	-11	247.5	321.5
1618477268169	-24.338653	247.5	320
1618477268263	-11	246.5	318
1618477268357	-11	250.5	320.5
1618477268451	-14	250.5	321.5
1618477268545	-8	217.028287	320
1618477268639	-10	248	335.9291
1618477268733	-10	249	319.5
1618477268827	-9	247.5	320.5
1618477268921	-7	248	320.5
1618477269015	-10	250	319.5
1618477269106	-11	248	319
1618477269200	-10	249.5	320.5
1618477269294	-10	250	321.5
1618477269388	-11	247	318.5
1618477269482	-9	246	320
1618477269576	-10	250	322
1618477269670	-10	248.5	318
1618477269764	-12	247	321
1618477269858	-10	246.5	319
1618477269952	-9	248	319
1618477270046	-10	218.528287	320
1618477270140	-9	248.5	319
1618477270234	-10	248	316.5
1618477270324	-7	249	318
1618477270418	-8	248	316.5
1618477270512	-11	249	318
1618477270606	-10	249	322.5
1618477270700	-11	247	317.5
1618477270794	6.338653	248.5	315
1618477270888	-10	248.5	313
1618477270982	-10	248.5	311.5
1618477271076	-10	248.5	318.9291
1618477271170	-13	249.5	295.5
1618477271264	-27.338653	247.5	284
1618477271358	-26.338653	247.5	283.0709
1618477271452	-10	247.5	306.5
1618477271544	-14	246.5	301.5
1618477271638	-13	247.5	336
1618477271732	-13	248	339.4291
1618477271826	-13	246	308.5
1618477271920	-13	245	302
1618477272014	-13	247.5	290.5
1618477272108	-15	247	275
1618477272202	-18	246.5	271.5
1618477272296	-19	246.5	267.5
1618477272390	-17	246	326.5
1618477272484	-22	245.5	340
1618477272578	-22	246.5	370.5
1618477272672	-26	246	364.5
1618477272760	-31	245	362
1618477272854	-40	241	356.5
1618477272948	-46	247.5	363
1618477273042	-34	251	383
1618477273136	-17.338653	257.5	379
1618477273230	-30	246	343.5
1618477273324	-108	303.5	388
1618477273418	11	360.5	414.5
1618477273512	75	298	353.5
1618477273606	42	214	299.5
1618477273700	-24	198.5	293.5
1618477273794	-35	197	300
1618477273888	-74	185.5	308.5
1618477273980	-104	218	342.5
1618477274074	-162	279	393.5
1618477274168	-81	399.5	472.5
1618477274262	-42	385.5	429
1618477274356	-8.338653	410.5	450.5
1618477274450	44	376	405
1618477274544	55	350	385
1618477274638	74	324.5	362.5
1618477274732	71	298	342.5
1618477274826	51	280.5	333
1618477274920	39	268	325.5
1618477275014	28	261	322
1618477275108	15	257	321.5
1618477275200	11	252	320
1618477275294	2	253	319.5
1618477275388	4	249.5	318
1618477275482	0	249.5	318.5
1618477275576	-2	250.5	319.5
1618477275670	-2	249	318
1618477275764	-2	249.5	318
1618477275858	-5	246.5	318.5
1618477275952	-5	248.5	317.5
1618477276046	-6	216.528287	318
1618477276140	-6	249	320
1618477276234	-9	249	322
1618477276328	-6	248	319
1618477276420	-10	247	321
1618477276514	-7	245.5	320
1618477276608	-9	249	320
1618477276702	-7	246.5	319
1618477276796	-11	247.5	335.9291
1618477276890	-9	250	320.5
1618477276984	-7	248	318
1618477277078	-10	247.5	320
1618477277172	-11	247.5	319
1618477277266	-10	248	321.5
1618477277360	-8	250	322.5
1618477277454	-10	247	319.5
1618477277548	-7	247.5	334.9291
1618477277643	-26.338653	248.5	321.5
1618477277737	-11	247	319.5
1618477277831	-6	249	321
1618477277925	-10	246	320.5
1618477278019	-9	248	320
1618477278113	-10	246.5	322.5
1618477278207	5.338653	248	321
1618477278301	-11	247.5	319
1618477278395	-12	247.5	319.5
1618477278489	-6	247	319
1618477278583	7.338653	249.5	321
1618477278677	-9	246	319.5
1618477278771	-10	248.5	319
1618477278862	-7	249	321.5
1618477278956	-10	217.528287	320
1618477279050	-10	249	320.5
1618477279144	-9	249.5	320.5
1618477279238	-8	248.5	321
1618477279332	-5	248.5	319
1618477279426	-8	248	320.5
1618477279520	-8	249	320.5
1618477279614	-10	245.5	318.5
1618477279708	-11	249.5	320
1618477279802	-10	248.5	320.5
1618477279896	-10	247	318
1618477279990	-10	250.5	306.0709
1618477280079	-26.338653	247.5	319.5
1618477280173	-10	245.5	318
1618477280267	-8	247.5	320
1618477280361	-8	246.5	320
1618477280455	-10	280.471713	323
1618477280549	-7	249	321
1618477280643	-10	246.5	320.5
1618477280737	-9	247	321.5
1618477280831	-10	247.5	318
1618477280925	-11	247	320.5
1618477281019	-10	249	321
1618477281113	-10	248.5	319.5
1618477281207	-10	249.5	322.5
1618477281298	-9	248.5	335.4291
1618477281393	-11	249	333.9291
1618477281488	-10	249.5	320
1618477281583	-10	248.5	319.5
1618477281678	-10	247.5	305.5709
1618477281773	-10	248	319
1618477281868	-10	247.5	320
1618477281963	-10	248	320
1618477282058	-10	250	321
1618477282153	-10	248	318.5
1618477282248	-9	249	320.5
1618477282343	-8	248.5	320.5
1618477282438	3.338653	248	321.5
1618477282529	-7	249.5	321
1618477282622	-10	249.5	321
1618477282715	-8	247	332.4291
