1618477216248,1.603944
1618477216342,1.869735
1618477216436,-0.485620
1618477216532,-2.490557
1618477216625,-1.458561
1618477216718,1.700739
1618477216811,2.216248
1618477216904,-0.101519
1618477216997,-2.515730
1618477217090,-1.867996
1618477217183,0.484426
1618477217276,2.002519
1618477217369,1.117943
1618477217462,-2.013553
1618477217555,-2.486345
1618477217648,0.370039
1618477217746,2.127385
1618477217840,1.247782
1618477217934,-1.396402
1618477218028,-2.600275
1618477218122,-0.619857
1618477218216,2.127992
1618477218310,1.866533
1618477218404,-0.895167
1618477218498,-3.076460
1618477218592,-1.713669
1618477218686,1.116243
1618477218780,2.410438
1618477218874,0.305138
1618477218964,1.831631
1618477219058,-2.232226
1618477219152,-1.143600
1618477219246,2.160506
1618477219340,-1.188352
1618477219434,-1.817943
1618477219528,1.841409
1618477219622,0.326720
1618477219716,-2.397555
1618477219810,1.545212
1618477219904,2.052589
1618477219998,-2.372852
1618477220092,0.459602
1618477220184,1.578815
1618477220278,-1.941963
1618477220372,-0.640197
1618477220466,2.685976
1618477220560,-1.553694
1618477220654,-1.770727
1618477220748,2.051075
1618477220842,-0.373513
1618477220936,-2.243316
1618477221030,1.408085
1618477221124,1.118266
1618477221218,-2.554817
1618477221312,0.843238
1618477221402,1.895382
1618477221496,-2.467073
1618477221590,0.344520
1618477221684,2.253816
1618477221778,-1.886833
1618477221872,-0.737322
1618477221966,2.598162
1618477222060,-0.754685
1618477222154,-0.257721
1618477222248,1.979324
1618477222342,0.669660
1618477222436,-2.301789
1618477222530,1.095049
1618477222621,1.385810
1618477222715,-2.930075
1618477222809,-0.198514
1618477222903,1.334420
1618477222997,-3.319301
1618477223091,-1.752268
1618477223185,1.464584
1618477223279,-5.719676
1618477223373,-6.031395
1618477223467,1.108114
1618477223561,1.529683
1618477223655,-0.912821
1618477223749,3.040717
1618477223842,2.305813
1618477223936,-3.438364
1618477224030,-2.749909
1618477224124,-4.552899
1618477224218,-7.615733
1618477224312,-5.703234
1618477224406,-6.211387
1618477224500,-4.061651
1618477224594,-3.086032
1618477224688,1.692490
1618477224782,-0.640461
1618477224876,-2.634920
1618477224970,2.210948
1618477225058,0.879059
1618477225152,-2.343752
1618477225246,1.209888
1618477225340,1.446792
1618477225434,-2.424746
1618477225528,-2.711343
1618477225622,2.247703
1618477225716,0.905570
1618477225810,-1.135761
1618477225904,1.191850
1618477225998,-0.230839
1618477226092,-2.335366
1618477226186,2.122584
1618477226280,2.313114
1618477226374,-2.467858
1618477226468,-1.429840
1618477226562,1.298777
1618477226656,-0.456912
1618477226750,0.306349
1618477226844,-1.278730
1618477226938,-1.711308
1618477227032,-1.914485
1618477227126,2.123568
1618477227220,2.194584
1618477227314,-1.879168
1618477227408,-2.462224
1618477227498,0.033289
1618477227592,0.413204
1618477227686,1.824328
1618477227780,1.454021
1618477227874,-2.443656
1618477227968,-3.087447
1618477228062,1.831853
1618477228156,1.944757
1618477228250,-0.484237
1618477228344,-0.757765
1618477228438,-1.507602
1618477228532,-0.852710
1618477228626,2.465161
1618477228725,2.408145
1618477228819,-2.085740
1618477228913,-2.480479
1618477229007,0.642905
1618477229101,1.221998
1618477229195,1.415606
1618477229289,0.737086
1618477229383,-2.481283
1618477229477,-1.958294
1618477229571,2.512714
1618477229665,2.527594
1618477229759,-0.911948
1618477229853,-1.298824
1618477229943,-1.160434
1618477230037,-0.332414
1618477230131,2.077181
1618477230225,1.782845
1618477230319,-2.452138
1618477230413,-2.554574
1618477230507,1.135902
1618477230601,1.724420
1618477230695,0.714119
1618477230789,0.054695
1618477230883,-2.267352
1618477230977,-1.804270
1618477231071,2.663718
1618477231161,2.624222
1618477231255,-1.524118
1618477231349,-1.879669
1618477231443,-0.036902
1618477231537,-0.055422
1618477231631,1.736922
1618477231725,1.611457
1618477231819,-2.670260
1618477231913,-2.425073
1618477232007,1.546824
1618477232101,2.081555
1618477232195,0.423010
1618477232289,-0.507909
1618477232378,-1.917118
1618477232472,-0.912077
1618477232566,2.104343
1618477232660,2.211870
1618477232754,-2.087139
1618477232848,-2.532333
1618477232942,-0.123241
1618477233036,0.599746
1618477233130,1.560167
1618477233224,0.916855
1618477233318,-2.552824
1618477233412,-2.527756
1618477233506,1.967084
1618477233597,2.215189
