1618478159493	485	220	529
1618478159587	533	257	456
1618478159680	542	256	454
1618478159774	507	230	519
1618478159868	497	223	524
1618478159962	499	231	502
1618478160056	503	234	497
1618478160150	541	252	461
1618478160244	539	250	464
1618478160338	488	219	536
1618478160432	483	222	537
1618478160526	523	248	476
1618478160620	529	250	460
1618478160714	525	240	486
1618478160808	515	239	496
1618478160899	483	225	535
1618478160997	488	224	527
1618478161095	539	257	455
1618478161193	537	258	455
1618478161291	498	228	521
1618478161389	498	221	530
1618478161487	501	234	503
1618478161585	508	240	490
1618478161683	540	252	463
1618478161781	537	249	474
1618478161879	489	219	538
1618478161977	486	220	537
1618478162075	527	253	468
1618478162179	533	249	461
1618478162269	519	237	493
1618478162359	515	230	507
1618478162449	485	226	526
1618478162539	491	226	520
1618478162629	542	254	461
1618478162719	543	258	456
1618478162809	499	224	528
1618478162899	492	221	535
1618478162989	506	236	496
1618478163079	509	241	487
1618478163169	540	252	470
1618478163259	532	246	481
1618478163343	486	218	541
1618478163438	485	219	539
1618478163533	528	252	460
1618478163628	536	251	462
1618478163723	517	237	502
1618478163818	509	230	515
1618478163913	489	227	519
1618478164008	490	224	513
1618478164103	540	254	454
1618478164198	541	255	459
1618478164293	493	221	534
1618478164388	490	223	535
1618478164483	512	241	493
1618478164578	516	244	481
1618478164672	535	252	472
1618478164766	519	241	493
1618478164860	478	219	541
1618478164954	482	221	532
1618478165048	528	250	464
1618478165142	538	255	458
1618478165236	507	234	512
1618478165330	503	231	515
1618478165424	486	227	521
1618478165518	491	231	511
1618478165612	534	259	453
1618478165706	534	258	459
1618478165797	482	228	532
1618478165891	477	221	535
1618478165985	502	242	484
1618478166079	505	251	475
1618478166173	513	248	478
1618478166267	512	245	488
1618478166361	465	224	537
1618478166455	466	221	530
1618478166549	523	268	460
1618478166643	529	249	455
1618478166737	475	255	508
1618478166831	500	251	522
1618478166925	432	338	512
1618478167013	443	356	506
1618478167107	564	432	454
1618478167201	635	381	462
1618478167295	572	268	536
1618478167389	542	194	538
1618478167483	489	166	476
1618478167577	482	219	463
1618478167671	466	203	482
1618478167765	404	214	489
1618478167859	340	276	535
1618478167953	357	367	529
1618478168047	468	525	455
1618478168141	544	546	450
1618478168235	523	491	507
1618478168329	558	474	512
1618478168423	564	410	510
1618478168517	569	376	494
1618478168611	616	361	452
1618478168705	622	322	447
1618478168799	560	253	507
1618478168893	546	236	499
1618478168987	565	251	415
1618478169081	565	249	391
1618478169175	556	245	427
1618478169269	544	238	459
1618478169363	503	219	524
1618478169452	502	217	547
1618478169546	552	251	477
1618478169640	552	253	450
1618478169734	517	230	491
1618478169828	500	223	491
1618478169922	504	223	456
1618478170016	508	235	422
1618478170110	548	250	379
1618478170204	542	249	359
1618478170298	491	220	496
1618478170392	489	218	577
1618478170486	521	244	543
1618478170580	527	249	551
1618478170672	531	247	559
1618478170766	525	240	560
1618478170860	480	218	591
1618478170954	488	224	569
1618478171048	541	252	484
1618478171142	545	256	474
1618478171236	509	229	531
1618478171330	504	227	537
1618478171424	499	229	517
1618478171518	502	234	508
1618478171612	543	255	466
1618478171706	543	254	468
1618478171800	490	221	540
1618478171890	486	218	543
1618478171984	521	245	477
1618478172078	524	249	471
1618478172172	532	244	485
1618478172266	521	239	492
1618478172360	483	223	534
1618478172454	487	222	532
1618478172548	538	255	455
1618478172642	539	255	458
1618478172736	504	229	517
1618478172830	497	226	524
1618478172924	495	230	510
1618478173018	503	237	500
1618478173109	540	254	455
1618478173203	533	251	469
1618478173297	490	220	536
1618478173391	485	218	535
1618478173485	518	247	478
1618478173579	527	245	476
1618478173673	528	245	481
1618478173767	522	244	488
1618478173861	486	222	533
1618478173955	486	221	533
1618478174049	535	256	458
1618478174143	540	251	456
1618478174237	507	234	508
1618478174329	500	230	518
1618478174423	494	229	512
1618478174517	498	235	508
1618478174611	541	257	456
1618478174705	541	255	458
1618478174799	486	221	533
1618478174893	488	222	536
1618478174987	515	240	486
1618478175081	520	247	475
1618478175175	533	249	479
1618478175269	530	248	483
1618478175363	484	224	531
1618478175457	484	224	534
1618478175547	534	254	463
1618478175641	539	254	457
1618478175735	518	234	506
1618478175829	508	230	515
1618478175923	490	227	519
1618478176017	505	237	504
1618478176111	546	256	458
1618478176205	540	258	454
1618478176299	493	220	529
1618478176393	494	223	535
1618478176487	510	241	488
1618478176581	515	242	483
1618478176675	535	255	475
1618478176766	532	249	476
1618478176860	485	221	535
1618478176954	484	216	532
1618478177048	529	251	465
1618478177142	535	255	457
1618478177236	519	233	497
1618478177330	518	234	506
1618478177424	487	224	528
1618478177518	492	229	520
1618478177612	541	253	452
1618478177706	544	256	458
1618478177800	495	224	522
1618478177894	498	222	532
1618478177983	500	232	503
1618478178077	512	239	490
1618478178171	541	256	462
NaN	NaN	NaN	466
NaN	NaN	NaN	541
