1618478075457	611	266	636
1618478075549	573	233	687
1618478075643	672	287	598
1618478075737	635	276	610
1618478075831	567	231	687
1618478075925	650	277	621
1618478076019	661	290	589
1618478076113	673	295	582
1618478076207	626	258	649
1618478076301	675	294	589
1618478076395	583	245	661
1618478076489	602	242	670
1618478076583	681	294	589
1618478076677	605	257	640
1618478076765	581	234	681
1618478076859	670	288	600
1618478076953	631	269	614
1618478077047	568	231	686
1618478077141	655	277	620
1618478077235	635	277	606
1618478077329	567	229	678
1618478077423	631	260	639
1618478077517	674	295	583
1618478077611	579	243	663
1618478077705	600	248	660
1618478077799	678	292	589
1618478077893	596	254	646
1618478077986	579	236	679
1618478078080	676	289	595
1618478078174	624	265	617
1618478078268	569	230	686
1618478078362	603	257	637
1618478078456	648	288	602
1618478078550	565	233	684
1618478078644	636	262	635
1618478078738	665	291	587
1618478078832	577	238	674
1618478078926	613	252	663
1618478079020	679	298	580
1618478079114	592	249	647
1618478079204	588	238	679
1618478079298	674	290	599
1618478079392	621	269	625
1618478079486	574	237	669
1618478079580	665	283	609
1618478079674	649	278	603
1618478079768	564	230	688
1618478079862	640	263	630
1618478079956	667	288	587
1618478080050	575	234	675
1618478080144	614	250	656
1618478080238	671	292	587
1618478080332	593	248	653
1618478080423	595	237	669
1618478080517	678	294	589
1618478080611	566	229	689
1618478080705	574	228	687
1618478080799	668	287	604
1618478080893	641	276	611
1618478080987	568	228	686
1618478081081	650	269	627
1618478081175	661	289	592
1618478081269	570	235	681
1618478081363	622	254	650
1618478081457	674	298	582
1618478081551	586	242	661
1618478081640	596	243	670
1618478081734	573	231	683
1618478081828	606	257	636
1618478081922	580	234	681
1618478082016	671	284	595
1618478082110	632	274	608
1618478082204	567	230	684
1618478082298	654	275	622
1618478082392	660	288	589
1618478082486	567	228	673
1618478082580	628	263	639
1618478082674	670	295	574
1618478082768	577	240	648
1618478082859	617	257	621
1618478082953	677	295	530
1618478083047	597	255	573
1618478083141	581	232	625
1618478083235	676	288	562
1618478083329	627	268	578
1618478083423	568	228	704
1618478083517	655	279	663
1618478083611	649	287	620
1618478083705	565	231	664
1618478083799	627	260	606
1618478083893	663	292	504
1618478083987	648	271	521
1618478084079	602	247	554
1618478084176	671	294	582
1618478084273	584	252	698
1618478084370	572	238	768
1618478084467	658	295	677
1618478084564	595	270	700
1618478084661	544	261	737
1618478084758	627	308	652
1618478084855	665	334	624
1618478084952	499	269	701
1618478085049	588	477	642
1618478085146	765	429	607
1618478085243	650	201	680
1618478085345	608	172	660
1618478085435	651	240	586
1618478085525	515	215	656
1618478085615	475	291	680
1618478085705	557	557	592
1618478085795	609	530	630
1618478085885	601	488	690
1618478085975	734	437	604
1618478086065	727	393	602
1618478086155	652	300	689
1618478086245	744	328	589
1618478086335	714	301	589
1618478086425	605	239	678
1618478086520	650	256	654
1618478086613	704	293	589
1618478086706	607	245	657
1618478086799	606	239	673
1618478086892	690	288	588
1618478086985	620	257	631
1618478087078	579	228	683
1618478087171	673	282	604
1618478087264	641	270	611
1618478087357	667	285	589
1618478087450	653	271	623
1618478087543	663	287	592
1618478087636	567	234	677
1618478087735	625	256	652
1618478087829	674	293	588
1618478087923	585	242	659
1618478088017	602	237	669
1618478088111	680	291	589
1618478088205	606	261	634
1618478088299	579	232	684
1618478088393	673	287	598
1618478088487	618	260	630
1618478088581	569	227	687
1618478088675	655	272	622
1618478088769	658	284	597
1618478088863	568	234	677
1618478088956	634	259	645
1618478089050	674	290	584
1618478089144	582	242	670
1618478089238	607	245	667
1618478089332	680	298	585
1618478089426	596	254	647
1618478089520	582	235	685
1618478089614	585	240	658
1618478089708	626	269	614
1618478089802	572	230	690
1618478089896	660	277	612
1618478089990	652	284	597
1618478090084	569	230	681
1618478090173	639	265	637
1618478090267	672	293	588
1618478090361	577	242	671
1618478090455	607	251	660
1618478090549	682	293	583
1618478090643	593	249	649
1618478090737	568	230	682
1618478090831	676	296	593
1618478090925	622	265	626
1618478091019	570	230	687
1618478091113	666	279	609
1618478091207	643	281	602
1618478091301	568	228	684
1618478091392	644	266	630
1618478091486	667	292	590
1618478091580	570	234	676
1618478091674	617	253	654
1618478091768	679	295	582
1618478091862	569	229	686
1618478091956	594	240	672
1618478092050	682	289	588
1618478092144	614	261	631
1618478092238	572	233	684
1618478092332	668	289	600
1618478092426	640	276	611
1618478092520	566	228	690
1618478092609	646	270	624
1618478092703	664	287	591
1618478092797	571	233	679
1618478092891	622	253	651
1618478092985	596	240	679
1618478093079	584	248	658
1618478093173	595	243	673
1618478093267	679	291	587
1618478093361	611	260	634
1618478093455	578	230	688
1618478093549	672	288	604
1618478093643	638	275	613
1618478093737	570	232	690
1618478093837	651	277	625
1618478093931	662	287	594
1618478094025	571	232	684
1618478094119	642	264	630
1618478094213	680	292	581
1618478094307	583	243	662
1618478094401	600	242	670
1618478094495	682	296	590
1618478094589	602	254	643
1618478094683	580	233	687
1618478094777	674	289	598
1618478094871	634	273	611
1618478094965	568	226	689
1618478095056	656	275	619
1618478095151	653	285	593
1618478095246	668	282	605
1618478095341	635	262	643
1618478095436	668	292	585
1618478095531	578	239	667
1618478095626	605	248	663
1618478095721	681	291	587
1618478095816	601	254	643
1618478095911	582	235	684
1618478096006	676	291	600
1618478096101	624	268	621
1618478096196	568	227	690
1618478096289	657	281	616
1618478096383	679	297	NaN
